
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  [KOSDAQ] VLS PBR≤0.8 + 고점-40 + 외인60     250일 · 1,397건 · 중앙기준초과 +17.21%p 중앙 +2.66 절삭 +5.53 CI+11.42 양수해 10/10 (평균기준 -2.51)
  [KOSPI] V PBR ≤1.2                     250일 · 5,115건 · 중앙기준초과 +12.76%p 중앙 +1.01 절삭 +3.13 CI+11.18 양수해 10/10 (평균기준 -0.95)
  [KOSDAQ] VL PBR≤0.5 + 고점 -40%↓          250일 ·   730건 · 중앙기준초과 +27.34%p 중앙 +2.66 절삭 +11.57 CI+10.83 양수해 10/10 (평균기준 +6.35)
  [KOSPI] M 시총 ≥1조                       250일 · 1,993건 · 중앙기준초과 +13.61%p 중앙 +1.47 절삭 +3.66 CI+10.59 양수해 8/10 (평균기준 +0.81)
  [KOSPI] V PBR ≤0.8                     250일 · 3,804건 · 중앙기준초과 +13.40%p 중앙 +1.86 절삭 +4.31 CI+10.31 양수해 10/10 (평균기준 -0.67)
  [KOSPI] VL PBR≤0.8 + 거래량침체             250일 · 2,280건 · 중앙기준초과 +11.36%p 중앙 +1.16 절삭 +3.21 CI+10.18 양수해 10/10 (평균기준 -1.44)
  [KOSDAQ] V PBR ≤1.2                     120일 · 10,646건 · 중앙기준초과 +11.36%p 중앙 +1.48 절삭 +2.64 CI+9.88 양수해 11/11 (평균기준 -0.41)
  [KOSDAQ] VL PBR≤0.8 + 1년 -30%↓          250일 · 1,774건 · 중앙기준초과 +19.75%p 중앙 +2.74 절삭 +6.01 CI+9.77 양수해 9/10 (평균기준 -0.11)
  [KOSPI] V PBR ≤0.8 + PER ≤15           250일 · 2,573건 · 중앙기준초과 +13.81%p 중앙 +2.67 절삭 +5.34 CI+9.39 양수해 10/10 (평균기준 -0.90)
  [KOSPI] F 부채 ≤100 + PBR ≤0.8           250일 · 1,662건 · 중앙기준초과 +11.01%p 중앙 +1.24 절삭 +2.91 CI+9.34 양수해 8/8 (평균기준 -2.05)
  [KOSPI] V PBR ≤0.5 + PER ≤10           250일 · 1,300건 · 중앙기준초과 +18.47%p 중앙 +6.54 절삭 +9.67 CI+9.32 양수해 10/10 (평균기준 +3.23)
  [KOSDAQ] VLF PBR≤0.8 + 고점-40 + 부채≤100   250일 · 1,239건 · 중앙기준초과 +18.60%p 중앙 +3.81 절삭 +7.24 CI+8.96 양수해 8/8 (평균기준 +0.79)
  [KOSPI] VL PBR≤0.8 + 1년 -30%↓          250일 · 1,696건 · 중앙기준초과 +14.92%p 중앙 +1.75 절삭 +4.19 CI+8.84 양수해 10/10 (평균기준 -0.17)
