snap,kind,gname,ticker
20260828,theme,풍력에너지,298040
20260828,theme,풍력에너지,306200
20260828,theme,풍력에너지,475150
20260828,theme,황사/미세먼지,000520
20260828,theme,황사/미세먼지,001060
20260828,theme,황사/미세먼지,002720
20260828,theme,황사/미세먼지,003850
20260828,theme,황사/미세먼지,012690
20260828,theme,황사/미세먼지,021240
20260828,theme,황사/미세먼지,022100
20260828,theme,황사/미세먼지,071840
20260828,theme,태양광에너지,000880
20260828,theme,태양광에너지,002150
20260828,theme,태양광에너지,002380
20260828,theme,태양광에너지,003010
20260828,theme,태양광에너지,003070
20260828,theme,태양광에너지,004710
20260828,theme,태양광에너지,009830
20260828,theme,태양광에너지,010060
20260828,theme,태양광에너지,010120
20260828,theme,태양광에너지,011930
20260828,theme,태양광에너지,015760
20260828,theme,태양광에너지,028260
20260828,theme,태양광에너지,058730
20260828,theme,태양광에너지,126720
20260828,theme,태양광에너지,322000
20260828,theme,태양광에너지,456040
20260828,theme,태양광에너지,475150
20260828,theme,폐기물처리,004150
20260828,theme,폐기물처리,009410
20260828,theme,우주항공산업(누리호/인공위성 등),000880
20260828,theme,우주항공산업(누리호/인공위성 등),001430
20260828,theme,우주항공산업(누리호/인공위성 등),003490
20260828,theme,우주항공산업(누리호/인공위성 등),007660
20260828,theme,우주항공산업(누리호/인공위성 등),010820
20260828,theme,우주항공산업(누리호/인공위성 등),012450
20260828,theme,우주항공산업(누리호/인공위성 등),047810
20260828,theme,우주항공산업(누리호/인공위성 등),064350
20260828,theme,우주항공산업(누리호/인공위성 등),079550
20260828,theme,우주항공산업(누리호/인공위성 등),272210
20260828,theme,비료,001390
20260828,theme,비료,001550
20260828,theme,비료,004000
20260828,theme,비료,014580
20260828,theme,비료,014830
20260828,theme,비료,025860
20260828,theme,비료,033250
20260828,theme,원자력발전,000720
20260828,theme,원자력발전,001440
20260828,theme,원자력발전,006360
20260828,theme,원자력발전,007460
20260828,theme,원자력발전,010120
20260828,theme,원자력발전,011700
20260828,theme,원자력발전,015760
20260828,theme,원자력발전,034020
20260828,theme,원자력발전,047040
20260828,theme,원자력발전,051600
20260828,theme,원자력발전,052690
20260828,theme,원자력발전,053690
20260828,theme,원자력발전,100840
20260828,theme,원자력발전,105840
20260828,theme,원자력발전,126720
20260828,theme,원자력발전,130660
20260828,theme,원자력발전,298040
20260828,theme,원자력발전,375500
20260828,theme,농업,000490
20260828,theme,농업,001390
20260828,theme,농업,001550
20260828,theme,농업,002100
20260828,theme,농업,002900
20260828,theme,농업,003080
20260828,theme,농업,004000
20260828,theme,농업,007590
20260828,theme,농업,014830
20260828,theme,농업,025860
20260828,theme,해저터널(지하화/지하도로 등),006260
20260828,theme,해저터널(지하화/지하도로 등),011390
20260828,theme,해저터널(지하화/지하도로 등),028100
20260828,theme,강관업체(Steel pipe),000970
20260828,theme,강관업체(Steel pipe),005010
20260828,theme,강관업체(Steel pipe),008970
20260828,theme,강관업체(Steel pipe),014280
20260828,theme,강관업체(Steel pipe),071090
20260828,theme,강관업체(Steel pipe),092790
20260828,theme,강관업체(Steel pipe),100090
20260828,theme,강관업체(Steel pipe),306200
20260828,theme,전기차,000240
20260828,theme,전기차,000270
20260828,theme,전기차,001820
20260828,theme,전기차,003620
20260828,theme,전기차,003720
20260828,theme,전기차,005070
20260828,theme,전기차,005380
20260828,theme,전기차,006400
20260828,theme,전기차,009320
20260828,theme,전기차,009470
20260828,theme,전기차,009900
20260828,theme,전기차,010120
20260828,theme,전기차,010690
20260828,theme,전기차,011210
20260828,theme,전기차,011230
20260828,theme,전기차,011790
20260828,theme,전기차,012200
20260828,theme,전기차,012330
20260828,theme,전기차,013870
20260828,theme,전기차,014910
20260828,theme,전기차,017370
20260828,theme,전기차,018880
20260828,theme,전기차,023800
20260828,theme,전기차,023810
20260828,theme,전기차,024900
20260828,theme,전기차,025540
20260828,theme,전기차,051910
20260828,theme,전기차,058430
20260828,theme,전기차,064960
20260828,theme,전기차,066570
20260828,theme,전기차,066970
20260828,theme,전기차,092200
20260828,theme,전기차,092220
20260828,theme,전기차,096770
20260828,theme,전기차,204320
20260828,theme,전기차,214330
20260828,theme,전기차,308170
20260828,theme,전기차,336370
20260828,theme,전기차,373220
20260828,theme,스마트그리드(지능형전력망),001820
20260828,theme,스마트그리드(지능형전력망),006490
20260828,theme,스마트그리드(지능형전력망),010120
20260828,theme,스마트그리드(지능형전력망),015860
20260828,theme,스마트그리드(지능형전력망),022100
20260828,theme,스마트그리드(지능형전력망),103590
20260828,theme,스마트그리드(지능형전력망),130660
20260828,theme,미디어(방송/신문),034120
20260828,theme,미디어(방송/신문),036420
20260828,theme,미디어(방송/신문),053210
20260828,theme,보안주(물리),012750
20260828,theme,보안주(물리),489790
20260828,theme,GTX(수도권 광역급행철도),000720
20260828,theme,GTX(수도권 광역급행철도),001260
20260828,theme,GTX(수도권 광역급행철도),002150
20260828,theme,GTX(수도권 광역급행철도),002990
20260828,theme,GTX(수도권 광역급행철도),005960
20260828,theme,GTX(수도권 광역급행철도),006360
20260828,theme,GTX(수도권 광역급행철도),009410
20260828,theme,GTX(수도권 광역급행철도),014790
20260828,theme,GTX(수도권 광역급행철도),028100
20260828,theme,GTX(수도권 광역급행철도),047040
20260828,theme,GTX(수도권 광역급행철도),064350
20260828,theme,GTX(수도권 광역급행철도),097230
20260828,theme,GTX(수도권 광역급행철도),294870
20260828,theme,GTX(수도권 광역급행철도),375500
20260828,theme,바이오시밀러(복제 바이오의약품),003060
20260828,theme,바이오시밀러(복제 바이오의약품),003850
20260828,theme,바이오시밀러(복제 바이오의약품),006280
20260828,theme,바이오시밀러(복제 바이오의약품),007460
20260828,theme,바이오시밀러(복제 바이오의약품),009420
20260828,theme,바이오시밀러(복제 바이오의약품),051910
20260828,theme,바이오시밀러(복제 바이오의약품),068270
20260828,theme,바이오시밀러(복제 바이오의약품),069620
20260828,theme,바이오시밀러(복제 바이오의약품),128940
20260828,theme,바이오시밀러(복제 바이오의약품),170900
20260828,theme,바이오시밀러(복제 바이오의약품),185750
20260828,theme,바이오시밀러(복제 바이오의약품),950210
20260828,theme,탄소나노튜브(CNT),011780
20260828,theme,탄소나노튜브(CNT),051910
20260828,theme,철도,001260
20260828,theme,철도,001780
20260828,theme,철도,002150
20260828,theme,철도,002690
20260828,theme,철도,004020
20260828,theme,철도,004440
20260828,theme,철도,006340
20260828,theme,철도,007610
20260828,theme,철도,011390
20260828,theme,철도,023350
20260828,theme,철도,028100
20260828,theme,철도,032560
20260828,theme,철도,039570
20260828,theme,철도,064350
20260828,theme,모바일게임(스마트폰),035420
20260828,theme,모바일게임(스마트폰),036570
20260828,theme,모바일게임(스마트폰),181710
20260828,theme,모바일게임(스마트폰),192080
20260828,theme,모바일게임(스마트폰),251270
20260828,theme,모바일게임(스마트폰),259960
20260828,theme,모바일게임(스마트폰),462870
20260828,theme,겨울,000020
20260828,theme,겨울,000100
20260828,theme,겨울,002700
20260828,theme,겨울,004690
20260828,theme,겨울,005610
20260828,theme,겨울,006280
20260828,theme,겨울,009290
20260828,theme,겨울,009450
20260828,theme,겨울,015360
20260828,theme,겨울,016710
20260828,theme,겨울,017390
20260828,theme,겨울,034590
20260828,theme,겨울,036460
20260828,theme,겨울,071320
20260828,theme,겨울,111770
20260828,theme,겨울,117580
20260828,theme,겨울,128940
20260828,theme,겨울,267290
20260828,theme,자동차부품,000430
20260828,theme,자동차부품,001380
20260828,theme,자동차부품,001420
20260828,theme,자동차부품,001620
20260828,theme,자동차부품,002880
20260828,theme,자동차부품,002920
20260828,theme,자동차부품,003570
20260828,theme,자동차부품,004100
