F,date,ticker,name,grp,r,y
2번 조정매집,20240806,016740,두올,생존,15.23025641025642,2024
2번 조정매집,20240807,016740,두올,생존,10.358461538461542,2024
2번 조정매집,20241030,017040,광명전기,생존,8.386517189835565,2024
2번 조정매집,20190806,019170,신풍제약,생존,13.66183266932272,2019
2번 조정매집,20190807,019170,신풍제약,생존,8.262857142857143,2019
2번 조정매집,20240807,024900,디와이덕양,생존,18.87772005772006,2024
2번 조정매집,20190806,025750,한솔홈데코,생존,16.523349282296643,2019
2번 조정매집,20190807,025750,한솔홈데코,생존,9.419078341013835,2019
2번 조정매집,20240806,033530,SJG세종,생존,10.273744493392071,2024
2번 조정매집,20240806,036420,콘텐트리중앙,생존,7.910909090909083,2024
2번 조정매집,20220621,037270,YG PLUS,생존,-7.628640483383683,2022
2번 조정매집,20220622,037270,YG PLUS,생존,17.60193832599119,2022
2번 조정매집,20200320,069730,DSR제강,생존,40.61431072210065,2020
2번 조정매집,20200319,070960,모나용평,생존,46.20249496981891,2020
2번 조정매집,20200320,070960,모나용평,생존,46.488421052631566,2020
2번 조정매집,20200323,070960,모나용평,생존,47.32717131474104,2020
2번 조정매집,20240806,077500,유니퀘스트,생존,13.22860215053763,2024
2번 조정매집,20211117,079980,휴비스,생존,-7.668991888760143,2021
2번 조정매집,20240806,092220,KEC,생존,14.240967741935478,2024
2번 조정매집,20240807,092220,KEC,생존,8.38640926640927,2024
2번 조정매집,20211110,093230,이아이디,폐지,-10.530550104073741,2021
2번 조정매집,20211111,093230,이아이디,폐지,-6.269804908747643,2021
2번 조정매집,20210923,093240,형지엘리트,생존,23.03646240476979,2021
2번 조정매집,20220310,093240,형지엘리트,생존,9.840887245841039,2022
2번 조정매집,20210325,096760,JW홀딩스,생존,4.960561285680013,2021
2번 조정매집,20200313,119650,KC코트렐,생존,-15.4350911039657,2020
2번 조정매집,20200316,119650,KC코트렐,생존,-2.440591031204794,2020
2번 조정매집,20200317,119650,KC코트렐,생존,-2.8193442622950835,2020
2번 조정매집,20240806,192400,쿠쿠홀딩스,생존,4.322392344497609,2024
2번 조정매집,20220930,210980,SK디앤디,생존,-2.0720817873213857,2022
2번 조정매집,20240319,214390,경보제약,생존,33.928481262327416,2024
2번 조정매집,20190806,227840,현대코퍼레이션홀딩스,생존,19.925527638190957,2019
2번 조정매집,20190807,227840,현대코퍼레이션홀딩스,생존,15.893170731707311,2019
2번 조정매집,20200323,267850,아시아나IDT,생존,47.43691312384474,2020
2번 조정매집,20220616,308170,씨티알모빌리티,생존,-4.737312252964428,2022
2번 조정매집,20220617,308170,씨티알모빌리티,생존,-10.340305343511455,2022
2번 조정매집,20231020,381970,케이카,생존,6.681235356762519,2023
2번 조정매집,20231023,381970,케이카,생존,9.596190476190483,2023
3번 폭락반등,20200316,000020,동화약품,생존,41.78666666666667,2020
3번 폭락반등,20181107,000070,삼양홀딩스,생존,12.583798777621073,2018
3번 폭락반등,20240802,000150,두산,생존,1.4484106891701902,2024
3번 폭락반등,20240805,000150,두산,생존,13.862193450114237,2024
3번 폭락반등,20260714,000150,두산,생존,-5.235842185128978,2026
3번 폭락반등,20181026,000180,성창기업지주,생존,4.069999999999999,2018
3번 폭락반등,20181029,000180,성창기업지주,생존,16.875555555555557,2018
3번 폭락반등,20240806,000210,DL,생존,-1.3768609865470878,2024
3번 폭락반등,20240807,000210,DL,생존,-3.404634420697414,2024
3번 폭락반등,20181025,000270,기아,생존,1.0960147601476038,2018
3번 폭락반등,20190805,000640,동아쏘시오홀딩스,생존,15.942967850624736,2019
3번 폭락반등,20220127,000640,동아쏘시오홀딩스,생존,8.326867985338009,2022
3번 폭락반등,20210824,000860,강남제비스코,생존,3.3280360642885123,2021
3번 폭락반등,20210825,000860,강남제비스코,생존,6.42556621880999,2021
3번 폭락반등,20181005,001020,페이퍼코리아,생존,1.973526970954368,2018
3번 폭락반등,20231019,001060,JW중외제약,생존,-0.3089253087898176,2023
3번 폭락반등,20231020,001060,JW중외제약,생존,15.821493517150824,2023
3번 폭락반등,20231023,001060,JW중외제약,생존,11.1629836794693,2023
3번 폭락반등,20200224,001140,국보,폐지,-54.45424571090515,2020
3번 폭락반등,20231024,001140,국보,폐지,-4.915632183908044,2023
3번 폭락반등,20241114,001200,유진투자증권,생존,-15.03483870967742,2024
3번 폭락반등,20241128,001200,유진투자증권,생존,-11.168245931283902,2024
3번 폭락반등,20241129,001200,유진투자증권,생존,-10.49481481481481,2024
3번 폭락반등,20190729,001360,삼성제약,생존,39.47743944636677,2019
3번 폭락반등,20190805,001360,삼성제약,생존,80.36882154882154,2019
3번 폭락반등,20190806,001360,삼성제약,생존,61.25059839605183,2019
3번 폭락반등,20210820,001380,SG글로벌,생존,2.611069924178592,2021
3번 폭락반등,20211005,001380,SG글로벌,생존,5.24451198418581,2021
3번 폭락반등,20211012,001380,SG글로벌,생존,-7.202700949733606,2021
3번 폭락반등,20211130,001380,SG글로벌,생존,13.431727416798726,2021
3번 폭락반등,20200303,001750,한양증권,생존,-24.928211731044343,2020
3번 폭락반등,20200304,001750,한양증권,생존,-24.60857142857143,2020
3번 폭락반등,20180814,001820,삼화콘덴서,생존,14.627012622720905,2018
3번 폭락반등,20200313,001820,삼화콘덴서,생존,-0.06220338983051488,2020
