ticker,shares,equity,as_of
008560,597180579,8349543167409,20260415
008600,67236039,6706476342,20260415
008700,77124820,89439602,20260415
008730,24800000,289687666248,20260415
008770,39248121,1068359798531,20260415
008800,45628344,7236673654,20260415
008830,8987520,76948065412,20260415
008870,1000000,83965021120,20260415
0088D0,5795000,11425988510,20260415
0088M0,8332400,40986496156,20260415
008930,68391550,581707036103,20260415
008970,103766907,128658286742,20260415
009070,30000000,263625206497,20260415
009140,1570797,66817893915,20260415
009150,74693696,6978428102191,20260415
009160,65370968,587330194145,20260415
009180,28155825,93508091460,20260415
009190,43192625,101340617615,20260415
0091W0,6068000,12072666046,20260415
009200,41609310,301072480250,20260415
009240,23533928,389475261380,20260415
009270,114770393,227056005918,20260415
009290,52420851,598211007710,20260415
009300,6370000,229647310077,20260415
009310,16973483,41035920714,20260415
009320,49299770,35605526001,20260415
0093G0,6400000,12662164106,20260415
009410,297590078,448243800971,20260415
009420,52240638,162256877233,20260415
009440,23239141,82205476653,20260415
009450,14568592,703853630551,20260415
009460,59667486,134859518625,20260415
009470,6613820,104908158688,20260415
009520,41642703,125288225684,20260415
009540,70773116,11874131143000,20260415
009580,62368324,456579336796,20260415
009620,16386091,2268822009,20260415
009680,28050000,478710152205,20260415
0096B0,6580000,12749208196,20260415
0096D0,5500000,10580891690,20260415
009730,62687484,37097157159,20260415
009770,2499971,282116007272,20260415
009780,17600000,199001782003,20260415
0097F0,6500000,12644879372,20260415
009810,151887500,56930483460,20260415
009830,171892536,10501359000000,20260415
0098T0,5400000,10502255601,20260415
009900,52470133,204401733560,20260415
009970,13499237,785489452432,20260415
0099W0,7000000,13104328437,20260415
0099X0,5980000,11063749839,20260415
010040,41067062,178621871066,20260415
010050,1382850405,1117710957562,20240414
010060,18670232,2271938627000,20260415
010100,30450420,301431774290,20260415
010120,30000000,2003424271123,20260415
010130,20872969,10546103199159,20260415
010140,880000000,4682201108385,20260415
010170,131985660,119464069283,20260415
0101C0,7740000,14792684752,20260415
010240,11706000,109351042446,20260415
010280,65123786,118104739738,20260415
010400,7622000,78567980492,20260415
010420,20493012,41061162645,20260415
010470,11975050,110344196068,20260415
010580,111251760,69623837384,20260415
0105P0,5660000,10787542135,20260415
010600,90923407,11197711902,20260415
010620,39942149,2263501460000,20250415
010640,10000000,45568150691,20260415
010660,22000000,145484936657,20260415
010690,34920410,619341454455,20260415
010770,14625466,145937629599,20260415
010780,30186976,1408409629258,20260415
010820,48771938,88511840649,20260415
010950,112582792,10077966000000,20260415
010960,24120000,229293862710,20260415
011000,85409936,34140312774,20260415
011040,30768766,227342910387,20260415
011070,23667107,4662204000000,20260415
011080,42962622,30792655542,20260415
011090,59991641,34415124779,20260415
011150,35931000,92222235558,20260415
011160,483071487,347191768210,20260415
011170,42775419,11098722576388,20260415
011200,943237970,28549412000000,20260415
011210,27195083,3385172000000,20260415
011230,19165785,18831622242,20260415
011280,70805940,284823421000,20260415
011300,155617675,35744644401,20260415
011320,19320695,138469676807,20260415
011330,93525678,123894504205,20260415
011370,100894865,550345250503,20260415
011390,1056000,73593224103,20260415
011420,27549644,58267317384,20260415
011500,15637042,182359723612,20260415
011560,10530000,297681779459,20260415
0115H0,1350000,13390860924,20260415
011690,36574394,99682248824,20260415
011700,32446151,92269004096,20260415
011760,13228966,761300022495,20260415
011780,26031742,3718425002387,20260415
011790,37868298,2304694596708,20260415
0117P0,12022400,163366997309,20260415
011810,31017927,410000000,20260415
011930,205848151,173504183192,20260415
012030,201173933,390343502658,20260415
0120G0,7435870,238622350043,20260415
012160,101310372,152592680668,20260415
012170,10873743,18903683946,20260415
012200,27222829,14373455830,20260415
012210,22192012,105048623624,20260415
012280,51664505,85786756271,20260415
012320,2365023,294191368532,20260415
012330,90732583,30713054000000,20260415
012340,53529537,17114223712,20260415
012450,51563401,9695176311000,20260415
012510,30382784,557576533006,20260415
012600,46634517,49369046614,20260415
012610,41616365,215969748183,20260415
012620,4400000,147122733001,20260415
012630,59741721,2234346259964,20260415
012690,36571255,86526271696,20260415
0126Z0,24883049,3336105910667,20260415
012700,26446135,362952349912,20260415
012750,37999178,1678965437242,20260415
012790,11986415,153831677966,20260415
012800,91140499,256694364805,20260415
012860,73233457,226890124075,20260415
013000,28705031,57569071587,20260415
013030,11768144,449887652498,20260415
013120,90808100,1059797758903,20260415
0132G0,570000,11537143414,20260415
013310,38806582,362642579715,20260415
013360,54024880,70757337412,20260415
013520,50051252,329470031211,20260415
013570,26319633,215242549007,20260415
013580,8930907,973729341841,20260415
013700,59750830,128914260778,20260415
013720,60828143,56299213104,20260415
013810,14655470,46733324273,20260415
013870,19072280,270784869583,20260415
013890,22254576,515117026673,20260415
013990,32887536,174474919241,20260415
014100,11800000,68065515950,20260415
014130,12000000,66290565613,20260415
014160,108394549,192022830890,20260415
014190,35399906,116731185626,20260415
014200,15117780,145027445423,20260415
014280,29329357,286603881683,20260415
014440,20000000,179972262796,20260415
014470,60052260,168754392585,20260415
014530,34869420,212412289293,20260415
014570,11000000,78815811988,20260415
014580,27583100,210575196614,20260415
014620,26557364,536175373846,20260415
014680,11335195,971260751735,20260415
014710,17218543,193375182027,20260415
014790,37858601,555683579009,20260415
014820,28991282,871232475262,20260415
014830,6767600,792257960743,20260415
014910,22460985,38834606679,20260415
014940,45573661,101235925895,20260415
014950,9196413,73405321150,20260415
014970,15125000,58521095693,20260415
014990,75112995,39350114624,20260415
015020,42851600,36042684445,20260415
015230,28572230,275226302139,20260415
015260,45116894,29221625229,20260415
015350,10000900,769108427345,20220415
015360,5700000,596754703000,20260415
015540,62566875,17059251328,20250415
015590,236981544,140087302970,20260415
0155E0,4457150,8041603209,20260415
015710,17530500,129388718330,20260415
015750,80000000,1615811923097,20260415
015760,641964077,28446773000000,20260415
015860,49347483,373981471991,20260415
015890,29228750,167704052757,20260415
016090,44282310,279505082169,20260415
016100,19100894,52616171776,20260415
016250,5036986,361431545149,20260415
016360,89300000,8156627340443,20260415
016380,100008897,2147003747626,20260415
016450,40000000,298640120396,20260415
016580,18600070,424125937201,20260415
016590,40297820,408470259399,20260415
016600,178247112,144804483809,20260415
016610,42446389,1156692104000,20260415
016670,7594234,92696140787,20260415
016710,16089459,326408743456,20260415
016740,28674024,244793571058,20260415
016790,188471729,77241449980,20260415
016800,11500000,646146464331,20260415
016880,79927080,418878821978,20260415
016920,26493538,62790637408,20260415
017000,11668027,119302731897,20260415
017040,43337615,6234636080,20260415
017180,33953454,97125692284,20260415
017250,21045467,41220570513,20260415
017370,18314054,148626032103,20260415
017390,5000000,1093006812700,20260415
017480,15702890,199166126603,20260415
017510,15246000,94393735839,20260415
017550,62399130,176253806142,20260415
017650,8785000,289093206515,20260415
017670,214790053,14005237000000,20260415
017680,119291,12027247489,20260415
017800,39092385,872564696078,20260415
017810,38120542,400271838932,20260415
017860,17584212,280741161332,20260415
017890,21273506,405273313848,20260415
017900,57943763,244945308676,20260415
017940,6860000,2008228564556,20260415
017960,51908452,677388548221,20260415
018000,245157742,107175969215,20260415
018120,6621120,89431976049,20260415
018250,26409935,410123517711,20260415
018260,77377800,7243715897088,20260415
018290,34941838,272833794354,20260415
018310,14700000,613223909019,20260415
018470,126631721,227025734027,20260415
018500,46754933,171213939998,20260415
018620,28889293,32141009542,20260415
018670,9245244,3329124920357,20260415
018680,11659319,40540239095,20260415
018700,35119757,29270586248,20260415
018880,1026262552,4218867076891,20260415
019010,48200000,583215619494,20260415
019170,52984990,264024163904,20260415
019180,18000000,266642044988,20260415
019210,33573819,412889466858,20260415
019440,8570000,318421734038,20260415
019490,76432270,13343768852,20260415
019540,13513500,231066596877,20260415
019550,162066575,154505707074,20260415
019570,67110042,51317195357,20260415
019590,113966542,14107201028,20250415
019660,13944333,9513718652,20260415
019680,84702850,261167264394,20260415
019770,11650000,107174332445,20260415
019990,9756088,37623982217,20260415
020000,22437747,1450550479000,20260415
020120,37063766,239747415652,20260415
020150,52365463,840047810538,20260415
020180,38428915,45860588075,20260415
020400,3189166,39806657234,20260415
020560,205990711,381548895941,20260415
020710,20047970,119460447963,20260415
020760,51513741,28528635131,20260415
021040,21704774,37439952570,20260415
021050,47474590,88322708326,20260415
021080,48000000,198001545891,20260415
021240,71909133,2582979587843,20260415
021320,21400000,573407089697,20260415
021650,16350563,93735192681,20260415
021820,10000000,389324625534,20260415
021880,152184408,79769157421,20260415
022100,152034729,555992449595,20260415
022220,51794579,86366680940,20260415
023000,40000000,261898584803,20260415
023150,7378526,70013619083,20260415
023160,26500000,690326914190,20260415
023350,10950000,177203260349,20260415
023410,77310863,959740090210,20260415
023440,88616044,56213315519,20260415
023450,3500000,58762962059,20260415
023460,37200000,5866317140,20260415
023530,28288755,14328674356980,20260415
023590,44866617,871279066373,20260415
023600,16008300,252769898284,20260415
023760,315609576,786067387000,20260415
023770,8946495,18583423690,20260415
023790,26139617,17323230540,20260415
023800,15809197,226582529230,20260415
023810,10000000,119778276987,20260415
023890,9150000,418274140405,20210415
023900,12600000,132752183632,20260415
023910,6000000,308067477563,20260415
023960,38035975,28845740178,20260415
024060,15000000,82608167361,20260415
024070,15326438,89170675486,20260415
024090,11400000,260782860630,20260415
024110,797425869,34232068000000,20260415
024120,11500000,132025021518,20260415
024720,34296259,406661251944,20260415
024740,32897049,136574131720,20260415
024800,37051812,213092302178,20260415
024810,2239155,236820914619,20260415
024830,8350000,398035298571,20260415
024840,34909199,149497853165,20260415
024850,144536112,281219079542,20260415
024880,20016592,247531424423,20260415
024890,41249152,84468433810,20260415
024900,32564980,115038757549,20260415
024910,35819005,106856498604,20260415
024940,10000000,52972425385,20260415
