date,ticker,name,open,high,low,close,volume,frgn,grp,srd,KP5,KP20,KP60,KPok,KQ5,KQ20,KQ60,KQok,vm1,vm3,a40,a240,r16,rw1,su1,amt,amt20,fw5,fw60,ret3,ret10,ret20,ret60,gap,y,dil,cost,buy,f10,f20,f10t,up,sret60,r,F
20250605,023160,태광,19370,21900,19370,21650,1497852.0,263324.0,생존,True,True,True,True,True,True,True,True,True,1497852.0,613413.3333333334,287281.625,705755.1083333333,40.705567924039,213.52334432574077,5.200850621012714,58.1767291775,69.16577721,18.383867582298823,2.970282397537158,16.272824919441465,13.94736842105264,0.46403712296982924,-11.632653061224485,3.4642032332563577,2025,False,0.6799999999999999,22400.0,-5.35714285714286,-15.133928571428568,-5.35714285714286,1차 철강 제조업,0.8517312318467999,-6.03714285714286,P1형 상승초입
20250609,023160,태광,22400,22400,20950,21350,554064.0,-87562.0,생존,True,True,True,True,True,True,True,True,True,554064.0,754521.6666666666,280934.2,706877.7708333334,39.74296711421673,268.5759393718054,1.5536487390049636,56.7071669575,73.30615236,10.624557438033552,2.7579862696299196,13.082627118644075,17.243272926963215,0.23474178403755097,-11.410788381742742,-0.4683840749414525,2025,False,0.6799999999999999,21250.0,-1.4117647058823568,-10.44705882352941,-1.4117647058823568,1차 철강 제조업,2.6757968103691825,-2.0917647058823565,P1형 상승초입
20250610,023160,태광,21250,21450,20800,21400,439936.0,82424.0,생존,True,True,True,True,True,True,True,True,True,439936.0,830617.3333333334,280845.925,706532.4375,39.74989824865614,295.7555226529754,1.170059668426001,56.55586307,73.68884776,11.645732189228857,3.528451309479782,12.335958005249337,11.168831168831161,3.8834951456310662,-11.203319502074693,0.9345794392523255,2025,False,0.6799999999999999,21600.0,-2.314814814814814,-9.95370370370371,-2.314814814814814,1차 철강 제조업,4.464863405911179,-2.9948148148148137,P1형 상승초입
20250731,023160,태광,22650,23200,21800,23000,794104.0,6393.0,생존,True,True,True,True,True,True,True,True,True,794104.0,785487.3333333334,297739.95,717706.7125,41.4849052982767,263.8165732658091,3.264372560005821,62.17077138,56.918479245,4.625992908133193,3.0534146851278576,14.427860696517403,16.810563737938033,16.75126903553299,9.523809523809534,-0.21739130434782483,2025,False,0.6799999999999999,22950.0,6.5359477124183,9.58605664488017,6.5359477124183,1차 철강 제조업,4.026169086086893,5.8559477124183,P1형 상승초입
20250813,023160,태광,24900,25200,24150,24500,399454.0,16820.0,생존,True,True,True,True,True,True,True,True,True,399454.0,1129148.3333333333,290488.375,698799.0375,41.56965871607973,388.7068917416517,0.8623800327936451,61.7360888275,108.70155283,7.972520784894645,5.34711428404478,9.865470852017943,12.385321100917434,23.301459486663312,35.28437327443401,0.20408163265306367,2025,False,0.48,24550.0,0.6109979633401208,19.755600814663943,0.6109979633401208,1차 철강 제조업,9.191733690972017,0.13099796334012082,P1형 상승초입
20250814,023160,태광,24550,24700,23900,24450,214321.0,-45658.0,생존,True,True,True,True,True,True,True,True,True,214321.0,1131495.3333333333,289668.4,698829.7583333333,41.45049585335943,390.61745545366125,0.45274338672315934,61.52022354,110.077947585,8.089729952931892,5.0533818592642925,9.641255605381161,6.304347826086953,24.17470797359065,32.88043478260869,-2.862985685071573,2025,False,0.48,23750.0,5.894736842105264,18.526315789473678,5.894736842105264,1차 철강 제조업,7.581421248420107,5.414736842105263,P1형 상승초입
20250912,025320,시노펙스,6713,7237,6713,7180,1822748.0,725637.0,생존,True,True,True,True,True,True,True,True,True,1822748.0,933643.0,345661.625,1588439.4875,21.761082352846003,270.1031680910486,5.1395946743843615,22.395864705500003,28.314193893000002,29.791515129397965,0.15253615817915475,10.07205273647096,17.454604940291183,14.24025457438345,10.07205273647096,-0.4038997214484641,2025,False,0.8799999999999999,7151.0,-7.453503006572504,-7.453503006572504,-7.453503006572504,전자부품 제조업,11.072765510999135,-8.333503006572503,P1형 상승초입
20250915,025320,시노펙스,7151,7199,6789,6913,999159.0,-174582.0,생존,True,True,True,True,True,True,True,True,True,999159.0,1106294.0,343937.875,1584766.6583333334,21.702745523540507,321.65518264017885,2.3047600484176325,22.227354156500002,30.239607136500002,18.374963581530128,0.26971816402916904,3.8611778846153744,13.607230895645039,6.28843788437885,3.7053705370537093,0.9691884854621691,2025,False,0.8799999999999999,6980.0,-6.002865329512897,-6.146131805157595,-6.002865329512897,전자부품 제조업,10.92900237138835,-6.882865329512897,P1형 상승초입
20250916,025320,시노펙스,6980,6989,6875,6942,399261.0,-511.0,생존,True,True,True,True,True,True,True,True,True,399261.0,1073722.6666666667,349538.45,1577635.0125,22.155850195420282,307.1829913609409,0.8679932266870617,22.58297299175,30.7025991675,17.92401631776735,0.4703307103242799,4.0000000000000036,11.6436153103892,7.212355212355215,5.968554419172656,-0.14405070584846413,2025,False,0.8799999999999999,6932.0,-6.592613964223892,-6.174264281592611,-6.592613964223892,전자부품 제조업,13.151144878153957,-7.472613964223892,P1형 상승초입
20260511,025550,한국선재,3905,4835,3905,4200,4930554.0,472821.0,생존,True,True,True,True,True,False,True,True,True,4930554.0,2206211.6666666665,572079.65,1493784.9125,38.29732414705989,385.64763956673977,5.201401097899782,22.4236268325,48.83209365,4.401075228323877,0.7852389672446423,0.23866348448686736,15.22633744855968,28.244274809160295,26.126126126126124,0.0,2026,False,0.8799999999999999,4200.0,-12.738095238095237,-38.92857142857142,-12.738095238095237,1차 철강 제조업,8.435328997910968,-13.618095238095236,P1형 상승초입
