date,ticker,name,grp,y,sret60,r
20190524,006390,한일현대시멘트,폐지,2019,,26.988852459016403
20181018,006490,프리티,생존,2018,,-7.492375533428161
20181226,006490,프리티,생존,2018,,7.944974924774331
20200319,006490,프리티,생존,2020,,49.060932642487046
20220926,006490,프리티,생존,2022,,-0.5133333333333401
20221004,006490,프리티,생존,2022,,-1.5046753246753275
20260731,006650,대한유화,생존,2026,-28.85879456739123,12.558770685579194
20260814,007110,일신석재,생존,2026,-11.42924313471189,-13.19780415430267
20181031,007210,벽산,생존,2018,-22.265696558088482,-8.337894736842108
20200320,007210,벽산,생존,2020,-42.05704798662778,48.97166835187057
20200318,007540,샘표,생존,2020,-27.624956922285055,30.378185404339256
20200320,007540,샘표,생존,2020,-34.18792354700447,54.47819861431871
20190806,007570,일양약품,생존,2019,-23.085024346386664,9.648791870530662
20220127,007570,일양약품,생존,2022,-18.810089579525574,15.718992609718843
20181030,007630,폴루스바이오팜,폐지,2018,,-19.563248730964464
20181116,007630,폴루스바이오팜,폐지,2018,,-31.089356725146196
20181203,007630,폴루스바이오팜,폐지,2018,,-19.43
20181205,007630,폴루스바이오팜,폐지,2018,,-17.716011080332414
20181228,007630,폴루스바이오팜,폐지,2018,,-29.58625
20200313,007660,이수페타시스,생존,2020,-19.529184939787232,16.61547920433996
20200319,007660,이수페타시스,생존,2020,-38.75743608433914,69.52210942649967
20200325,007660,이수페타시스,생존,2020,-26.962207324652816,50.23902339776195
20200326,007660,이수페타시스,생존,2020,-27.883687052184865,40.64334152334151
20200330,007660,이수페타시스,생존,2020,-25.691445727889295,24.43700918233493
20240802,007660,이수페타시스,생존,2024,-11.814354922119065,8.565241744461472
20181026,008040,사조동아원,생존,2018,-16.700396067638334,12.49924528301887
20260729,008060,대덕,생존,2026,-36.070681389010865,47.50129496402879
20211130,008260,NI스틸,생존,2021,-20.17761611599709,12.653333333333343
20200319,008700,아남전자,생존,2020,,72.01220917822839
20200320,008700,아남전자,생존,2020,,64.62
20200401,008700,아남전자,생존,2020,,18.838309859154926
20200313,009150,삼성전기,생존,2020,-24.58384779999319,-8.824444444444444
20190730,009310,참엔지니어링,생존,2019,,0.6891588785046732
20220623,009410,태영건설,생존,2022,-31.827232175456736,6.5653622958617355
20220624,009410,태영건설,생존,2022,-27.19957559816462,-3.6269820554649304
20220630,009410,태영건설,생존,2022,-21.326074450792042,-1.613714037877697
20220623,009470,삼화전기,생존,2022,-16.00804432868941,15.228668730650146
20240808,009470,삼화전기,생존,2024,-29.42808360348467,-23.848421052631583
20200313,009680,모토닉,생존,2020,-26.652207005020706,13.764356120826719
20200323,009680,모토닉,생존,2020,-43.466806212850514,37.548323699421964
20200325,009680,모토닉,생존,2020,-36.0924453079736,15.755483870967751
20210802,009810,MDS스피어,생존,2021,,-11.015391623434141
20220510,009810,MDS스피어,생존,2022,,-8.879017017877985
20200319,010050,우리종금,폐지,2020,,51.333966480446925
20200320,010050,우리종금,폐지,2020,,39.63948051948051
20220623,010100,한국무브넥스,생존,2022,-21.18811369593,14.309749430523926
20200317,010120,LS ELECTRIC,생존,2020,-37.19284968666634,18.59899686520376
20200313,010420,한솔PNS,폐지,2020,,7.3220242914979785
20190729,010820,퍼스텍,생존,2019,-17.316865496813683,2.098688524590168
20220706,010950,S-Oil,생존,2022,-11.443724566454254,-4.5104347826086935
20181030,011000,진원생명과학,생존,2018,,13.046174496644305
20220621,011090,에넥스,생존,2022,-21.6955657807566,-7.408373702422141
20200319,011200,HMM,생존,2020,-48.20873495097997,54.392881355932204
20200313,011330,유니켐,생존,2020,-26.652207005020706,15.249032258064524
20200318,011390,부산산업,생존,2020,-36.89231215004618,82.01230769230769
20200319,011390,부산산업,생존,2020,-44.94925115358026,102.73394025604553
20200320,011390,부산산업,생존,2020,-42.05704798662778,110.27890410958904
20190807,011690,와이투솔루션,생존,2019,-14.137212346594422,27.354824132308412
