종목코드,회사명,시장구분,상장일
260870,SK시그넷,코넥스,2017-08-30
263600,덕우전자,코스닥,2017-08-28
270520,앱튼,코스닥,2017-08-22
258610,케일럼,코스닥,2017-08-22
140670,알에스오토메이션,코스닥,2017-08-11
900310,컬러레이,코스닥,2017-08-10
273060,와이즈버즈,코스닥,2017-08-07
118990,모트렉스,코스닥,2017-08-04
263800,데이타솔루션,코스닥,2017-08-03
263860,지니언스,코스닥,2017-08-02
263720,디앤씨미디어,코스닥,2017-08-01
162120,루켄테크놀러지스,코넥스,2017-07-25
238490,힘스,코스닥,2017-07-20
271980,제일약품,유가,2017-07-17
251630,브이원텍,코스닥,2017-07-13
227610,아우딘퓨쳐스,코스닥,2017-07-12
272290,이녹스첨단소재,코스닥,2017-07-10
035720,카카오,유가,2017-07-10
271560,오리온,유가,2017-07-07
003380,하림지주,코스닥,2017-06-30
261200,덴티스,코스닥,2017-06-26
233250,메디안디노스틱,코넥스,2017-06-26
267320,나인테크,코스닥,2017-06-22
270210,에스알바이오텍,코넥스,2017-06-15
266170,레드우즈,코넥스,2017-06-09
250000,보라티알,코스닥,2017-06-08
267980,매일유업,코스닥,2017-06-05
225190,LK삼양,코스닥,2017-06-02
264850,이랜시스,코스닥,2017-06-01
161580,필옵틱스,코스닥,2017-06-01
268280,미원에스씨,유가,2017-05-22
267290,경동도시가스,유가,2017-05-12
251270,넷마블,유가,2017-05-12
267270,HD건설기계,유가,2017-05-10
267250,HD현대,유가,2017-05-10
267260,HD현대일렉트릭,유가,2017-05-10
256630,포인트엔지니어링,코스닥,2017-05-02
166090,하나머티리얼즈,코스닥,2017-04-28
258790,소프트캠프,코스닥,2017-04-27
251370,와이엠티,코스닥,2017-04-27
264900,크라운제과,유가,2017-04-11
265520,AP시스템,코스닥,2017-04-07
263770,유에스티,코스닥,2017-04-06
063760,이엘피,코스닥,2017-04-06
264450,유비쿼스,코스닥,2017-03-31
178320,서진시스템,코스닥,2017-03-27
183300,코미코,코스닥,2017-03-23
246720,아스타,코스닥,2017-03-20
145720,덴티움,유가,2017-03-15
217480,에스디생명공학,코스닥,2017-03-02
002800,신신제약,코스닥,2017-02-28
083500,에프엔에스테크,코스닥,2017-02-27
087260,모바일어플라이언스,코스닥,2017-02-24
241820,피씨엘,코스닥,2017-02-23
111110,호전실업,유가,2017-02-02
140070,서플러스글로벌,코스닥,2017-01-25
206650,유바이오로직스,코스닥,2017-01-24
227420,도부,코넥스,2016-12-28
256840,한국비엔씨,코스닥,2016-12-28
241520,DSC인베스트먼트,코스닥,2016-12-19
246690,TS인베스트먼트,코스닥,2016-12-15
147760,피엠티,코스닥,2016-12-12
199290,바이오프로테크,코넥스,2016-12-08
196300,HLB펩,코스닥,2016-12-07
196300,HLB펩,코스닥,2016-12-07
203450,유니온바이오메트릭스,코스닥,2016-12-07
215600,신라젠,코스닥,2016-12-06
254120,자비스,코스닥,2016-12-02
143210,핸즈코퍼레이션,유가,2016-12-02
241790,티이엠씨씨엔에스,코스닥,2016-12-01
220100,퓨쳐켐,코스닥,2016-12-01
144960,뉴파워프라즈마,코스닥,2016-11-30
156100,엘앤케이바이오,코스닥,2016-11-30
220180,폴라리스AI핸디,코스닥,2016-11-24
241560,두산밥캣,유가,2016-11-18
207940,삼성바이오로직스,유가,2016-11-10
237880,클리오,코스닥,2016-11-09
900300,오가닉티코스메틱,코스닥,2016-11-04
238120,얼라인드,코스닥,2016-11-03
252500,세화피앤씨,코스닥,2016-11-02
243870,아이티센코어,코넥스,2016-10-31
216050,인크로스,코스닥,2016-10-31
239610,에이치엘사이언스,코스닥,2016-10-28
241710,코스메카코리아,코스닥,2016-10-28
234080,JW생명과학,유가,2016-10-27
900290,GRT,코스닥,2016-10-25
251280,안지오랩,코넥스,2016-10-25
189300,인텔리안테크,코스닥,2016-10-18
072990,에이치시티,코스닥,2016-10-17
950140,잉글우드랩,코스닥,2016-10-14
238090,앤디포스,코스닥,2016-10-12
050960,수산아이앤티,코스닥,2016-10-11
201490,미투온,코스닥,2016-10-10
241590,화승엔터프라이즈,유가,2016-10-04
250930,예선테크,코스닥,2016-09-29
229640,LS에코에너지,유가,2016-09-22
241690,유니테크노,코스닥,2016-09-20
250060,모비스,코스닥,2016-09-08
242040,나무AX,코스닥,2016-09-07
234920,자이글,코스닥,2016-09-06
249420,일동제약,유가,2016-08-31
900270,헝셩그룹,코스닥,2016-08-18
