ticker,market,per,pbr,pcr,upjong_per,ev_ebitda,eps,bps,div_yield
003800,KOSDAQ,5.88,0.45,6.98,931.27,2.68,5515.0,72223.0,7.1
003830,KOSPI,9.75,0.17,-30.92,10601.2,-15.16,11704.0,673613.0,0.66
003920,KOSPI,26.74,0.35,13.05,37.22,7.81,1606.0,124201.0,3.32
003925,KOSPI,26.74,0.35,13.05,37.22,7.81,1606.0,124201.0,3.32
003960,KOSPI,,0.44,4.06,37.22,4.84,-22436.0,63461.0,0.9
0039P0,KOSDAQ,13.02,3.89,11.15,10.63,11.83,614.0,2059.0,0.0
004000,KOSPI,5.81,0.45,3.88,10601.2,3.43,7792.0,99599.0,3.31
004020,KOSPI,,0.23,2.25,22.68,6.17,-136.0,151227.0,1.45
004060,KOSPI,10.96,0.16,12.81,7.14,21.86,194.0,13087.0,0.0
004080,KOSPI,24.78,1.11,69.21,,12.79,567.0,12639.0,2.35
004090,KOSPI,10.19,0.7,22.95,10601.2,14.16,1166.0,16993.0,1.01
004100,KOSPI,6.65,0.66,-15.52,8.13,9.6,436.0,4421.0,0.34
004105,KOSPI,6.65,0.66,-15.52,8.13,9.6,436.0,4421.0,0.34
004140,KOSPI,12.05,0.48,8.74,9.47,5.69,147.0,3723.0,1.69
004150,KOSPI,3.27,0.24,2.7,22.02,2.37,1069.0,14844.0,3.71
004170,KOSPI,20.55,0.59,3.54,20.4,7.94,17615.0,616162.0,1.44
0041B0,KOSDAQ,208.27,1.05,-74.85,13.18,-154.59,10.0,1915.0,12.0
0041J0,KOSDAQ,128.65,0.99,-125.05,13.18,-241.83,15.0,2013.0,12.0
0041L0,KOSDAQ,81.79,1.03,-185.37,13.18,-440.34,24.0,1928.0,12.0
004250,KOSPI,7.7,0.24,5.11,14.41,2.86,375.0,12110.0,3.63
004255,KOSPI,7.7,0.24,5.11,14.41,2.86,375.0,12110.0,3.63
004270,KOSPI,4.81,0.21,-4.66,63.01,129.56,1142.0,26514.0,3.62
004310,KOSPI,76.38,2.15,-2587.82,35.58,43.42,131.0,4633.0,0.3
004360,KOSPI,4.96,0.24,4.44,9.47,4.36,2721.0,56753.0,2.22
004365,KOSPI,4.96,0.24,4.44,9.47,4.36,2721.0,56753.0,2.22
004370,KOSPI,12.3,0.8,9.01,37.22,4.43,32367.0,497717.0,1.51
004380,KOSPI,,1.03,6.58,65.43,-18.84,-736.0,7360.0,0.66
004410,KOSPI,,1.74,48.43,37.22,21.56,-23.0,672.0,0.0
004415,KOSPI,,1.74,48.43,37.22,21.56,-23.0,672.0,0.0
004430,KOSPI,5.97,0.34,5.2,10601.2,5.37,1945.0,34093.0,2.59
004440,KOSPI,15.74,0.23,4.5,2.96,6.01,316.0,21209.0,12.0
004450,KOSPI,11.77,0.44,4.35,14.41,6.59,2303.0,62072.0,4.43
0044K0,KOSDAQ,,1.01,-29.43,13.18,-62.9,-5.0,1960.0,12.0
004540,KOSPI,,0.29,-21.8,,70.4,-1011.0,4214.0,12.0
004545,KOSPI,,0.29,-21.8,,70.4,-1011.0,4214.0,12.0
004560,KOSPI,9.81,0.36,3.01,20.76,5.38,1274.0,34833.0,2.0
004590,KOSDAQ,5.67,0.39,9.51,6.9,4.17,931.0,13629.0,3.88
004650,KOSDAQ,6.76,0.49,4.19,17.65,5.45,1372.0,19076.0,6.47
004690,KOSPI,3.89,0.25,1.75,5.46,1.68,33965.0,527302.0,2.27
004710,KOSPI,,1.11,6.92,63.01,9.59,-336.0,7999.0,1.0
004720,KOSPI,,0.47,10.13,35.58,4.64,-6513.0,6193.0,0.0
004770,KOSPI,24.3,0.91,18.76,63.01,-0.16,89.0,2395.0,1.61
004780,KOSDAQ,6.15,0.42,3.59,14.41,1.48,692.0,10244.0,3.53
004800,KOSPI,5.81,1.0,6.37,22.02,7.57,27590.0,160952.0,3.12
004830,KOSPI,15.31,0.5,51.36,7.14,5.86,212.0,6437.0,3.54
004835,KOSPI,15.31,0.5,51.36,7.14,5.86,212.0,6437.0,3.54
004840,KOSPI,6.61,0.18,1.84,10601.2,4.16,603.0,21971.0,2.01
004870,KOSPI,,0.4,-6.0,2.96,-9.09,-2636.0,2672.0,0.0
004890,KOSPI,23.83,0.18,57.08,22.68,-16.82,1461.0,198035.0,2.87
004910,KOSPI,,0.18,12.63,2.96,-16.54,-1047.0,19828.0,5.72
004920,KOSPI,2.7,0.62,14.49,14.07,14.54,336.0,1463.0,0.0
004960,KOSPI,1.57,0.15,5.88,15.34,8.64,7220.0,74920.0,1.32
004970,KOSPI,3.13,0.23,-11.36,37.22,0.38,2966.0,39716.0,5.39
004980,KOSPI,6.53,0.34,1.56,2.96,6.11,1241.0,24001.0,4.32
004985,KOSPI,6.53,0.34,1.56,2.96,6.11,1241.0,24001.0,4.32
00499K,KOSPI,,0.3,2.3,22.02,8.19,-3837.0,83300.0,4.98
005010,KOSPI,,0.2,33.97,22.68,12.56,-618.0,19554.0,12.0
005030,KOSPI,,2.07,-5.81,8.13,25.41,-6.0,235.0,12.0
005070,KOSPI,,2.56,9.78,10601.2,87.65,-216.0,16280.0,12.0
005110,KOSPI,,2.21,-0.93,37.03,-7.08,-497.0,568.0,0.0
005160,KOSDAQ,,0.51,2.1,22.68,14.89,-386.0,6810.0,4.15
005180,KOSPI,9.31,0.96,7.23,37.22,4.22,9194.0,88768.0,3.86
005250,KOSPI,,0.5,19.31,35.58,12.93,-2465.0,19110.0,3.17
005257,KOSPI,,0.5,19.31,35.58,12.93,-2465.0,19110.0,3.17
005290,KOSDAQ,9.98,1.69,10.93,8.76,9.57,4073.0,24040.0,1.6
005305,KOSPI,14.62,0.61,2.7,17.65,5.88,6503.0,154751.0,3.58
005320,KOSPI,,0.43,8.07,7.14,17.72,-151.0,2829.0,0.0
005360,KOSPI,,0.32,16.56,,24.24,-574.0,4004.0,2.33
005380,KOSPI,11.79,0.77,-16.15,7.9,10.85,30697.0,467197.0,2.76
005385,KOSPI,11.79,0.77,-16.15,7.9,10.85,30697.0,467197.0,2.76
005387,KOSPI,11.79,0.77,-16.15,7.9,10.85,30697.0,467197.0,2.76
005389,KOSPI,11.79,0.77,-16.15,7.9,10.85,30697.0,467197.0,2.76
005430,KOSPI,5.53,0.57,12.77,5.38,2.47,14487.0,139854.0,1.25
005440,KOSPI,5.79,0.38,5.04,22.02,4.13,2259.0,34266.0,2.29
005490,KOSPI,19.51,0.43,5.81,22.68,6.86,16737.0,759917.0,3.06
0054V0,KOSDAQ,162.85,1.06,-51.98,13.18,-300.07,12.0,1886.0,12.0
005500,KOSPI,10.81,0.79,10.65,35.58,7.93,1716.0,23604.0,4.31
005610,KOSPI,,0.7,3.94,37.22,4.98,-1082.0,57436.0,2.48
005670,KOSDAQ,4.66,0.52,3.68,37.22,4.15,1339.0,12081.0,2.56
005680,KOSPI,57.64,0.38,8.19,,-4.26,214.0,32342.0,2.43
005690,KOSPI,15.0,4.87,17.0,10601.2,17.56,775.0,2389.0,0.43
005710,KOSDAQ,3.0,0.34,1.9,8.13,-2.3,3485.0,31105.0,2.39
005720,KOSPI,2.73,0.2,0.88,8.13,3.08,2046.0,28439.0,3.14
005725,KOSPI,2.73,0.2,0.88,8.13,3.08,2046.0,28439.0,3.14
005740,KOSPI,4.99,0.23,1.2,37.22,3.03,1128.0,24100.0,2.31
005745,KOSPI,4.99,0.23,1.2,37.22,3.03,1128.0,24100.0,2.31
005750,KOSPI,4.5,0.41,5.42,,4.55,975.0,10607.0,4.1
005800,KOSPI,74.57,0.31,13.58,7.14,5.93,181.0,43039.0,1.3
005810,KOSPI,5.15,0.41,-102.23,20.76,7.27,7211.0,89708.0,4.31
005820,KOSPI,7.19,0.23,6.82,14.41,-1.72,1998.0,62328.0,3.2
005830,KOSPI,7.09,0.81,-46.86,8.5,4.66,26361.0,230365.0,4.06
005850,KOSPI,6.13,0.86,4.59,8.13,3.11,8208.0,58754.0,5.51
005860,KOSDAQ,17.5,0.59,6.08,37.22,8.28,139.0,4125.0,3.09
005870,KOSPI,,0.36,-1.7,32.18,-4.48,-378.0,12257.0,12.0
005930,KOSPI,11.37,2.95,20.04,8.76,16.98,22292.0,86052.0,0.66
005935,KOSPI,11.37,2.95,20.04,8.76,16.98,22292.0,86052.0,0.66
005945,KOSPI,6.17,0.91,-1.67,5.13,22.48,4119.0,28037.0,5.12
005950,KOSPI,3.42,1.54,-64.0,10601.2,21.16,3233.0,7173.0,12.0
005960,KOSPI,2.42,0.33,-8.89,15.34,9.17,3460.0,25566.0,3.58
005965,KOSPI,2.42,0.33,-8.89,15.34,9.17,3460.0,25566.0,3.58
005990,KOSDAQ,3.85,0.3,2.02,37.22,0.55,2830.0,35912.0,2.39
006050,KOSDAQ,,0.37,5.37,,1.86,-85.0,15012.0,0.0
006060,KOSPI,4.5,0.35,0.74,7.14,4.41,537.0,6949.0,8.53
006090,KOSPI,8.23,0.33,7.14,37.22,8.71,1074.0,26885.0,1.13
