ticker,ksic
011930,2612
012030,62021
012090,41221
0120G0,212
012160,24123
012170,591
012200,291
012210,25912
012250,25992
012280,303
012320,649
012330,303
012340,303
012400,26429
012410,2611
012420,64919
012450,31321
012460,26
012510,62022
012580,4741
012600,29180
012610,20132
012620,24123
012630,649
012650,41221
012690,17902
0126Z0,64992
012700,46712
012720,4111
012750,75320
012760,30
012790,212
012800,24221
012860,303
012990,20111
0129K0,661
013000,467
013030,241
0130D0,661
0130H0,661
013120,41112
0131D0,66199
013200,4111
013240,26
0132G0,649
013310,303
013340,2413
013360,41221
013450,20111
0134X0,66199
013520,303
013570,64992
013580,412
013650,14112
013700,41121
013720,303
013780,2629
013810,29229
013870,303
013890,320
013990,46414
014010,2612
014100,468
014130,49301
014160,1721
014190,46739
014200,301
014280,2413
014300,1090
014350,4111
014420,26
014440,2225
014470,681
014530,19221
014570,212
014580,23312
014590,91249
014620,24133
014680,20129
014710,102
014790,41221
014820,222
014830,20129
014900,68112
014910,26291
014940,291
014950,21212
014970,17223
014990,14112
015020,68121
015050,26211
015110,41112
015170,21230
015200,2413
015230,303
015260,2622
015350,35200
015360,715
015390,20491
015540,759
015590,29176
0155E0,26112
015670,26
0156T0,211
015710,26410
015750,303
015760,35120
015860,64992
015890,20129
015940,61210
016040,30
016090,14112
016100,172
016140,68112
016160,26
016170,182
016250,4112
016360,66121
016380,24122
016420,66121
016450,1419
0164H0,66199
016510,47111
016560,64131
016570,10897
016580,212
016590,172
0165X0,66199
016600,649
016610,66121
016670,467
016710,715
016740,303
016790,109
016800,32029
016830,64121
016880,64992
016890,21100
016920,465
016970,25119
016990,2629
017000,41112
017010,27214
017040,28123
017050,59111
017160,1090
017170,591
017180,212
017250,265
017300,26
017370,292
017390,35200
017480,2419
017510,2599
017550,29241
017650,179
017670,61220
017680,141
017800,29162
017810,108
017860,204
017890,204
017900,2612
017940,46713
017960,2512
018000,29119
018120,11121
018180,2642
018250,20422
018260,62021
018290,204
018310,2511
018410,25932
018470,24222
018500,303
018620,21230
018670,46713
018680,2121
018700,464
018880,29172
018890,2229
019010,47111
019120,291
019170,212
019180,289
019210,25934
019260,13101
019300,1710
019430,64209
019440,24122
019490,265
019540,303
019550,64209
019560,64209
019570,64209
019590,64209
019640,42
019660,468
019680,851
019770,292
019930,2642
019990,29133
020000,14112
020070,46510
020120,631
020150,2629
020180,62021
020400,24312
020560,511
020710,732
020760,261
021040,24123
021050,243
021060,64209
021080,64209
021240,969
021320,41112
021570,26293
021650,2229
021820,303
021880,64911
0218L0,265
021960,64911
0220W0,64992
022100,72129
022220,22211
022520,58221
023000,303
023020,28519
023150,11121
023160,2413
023350,72121
023410,23322
023420,23322
023430,467
023440,24121
023450,201
023460,649
023530,47111
023590,631
023600,171
023670,28303
023760,64911
023770,582
023790,24121
023800,30310
023810,303
023890,28202
023900,11121
023910,212
023960,41225
024060,46712
024070,22299
024090,2419
024100,64131
024110,64121
024120,303
024660,64992
024720,64992
024740,303
024800,492
024810,2811
024830,303
024840,242
024850,2629
024870,259
024880,259
024890,22214
024900,303
024910,30331
024940,464
024950,46465
025000,20119
025270,131
025320,2629
025340,64209
025440,265
025450,64131
025460,73901
025530,452
025540,2812
025550,24123
025560,27219
025610,64131
025620,204
025690,28410
025750,161
025770,61299
025820,24221
025830,13213
025850,20119
025860,20312
025870,463
025880,109
025890,292
025900,16212
025920,2419
025930,2642
025950,41221
025970,24222
025980,551
026040,331
026150,412
026180,62021
026220,47813
026230,2922
026250,25112
026260,468
026540,64209
026870,35200
026890,64201
026910,24121
026940,2413
026960,4632
026970,64132
027040,281
027050,20423
027350,26410
027360,649
027390,47111
027410,64992
027440,28202
027580,222
027700,47111
027710,109
027740,1012
027830,64209
027840,2612
027970,171
028040,461
028050,72129
028080,620
028090,1089
028100,421
028150,602
028260,467
028300,213
028670,50112
029460,27216
029480,26410
029530,263
029780,64913
029960,353
030000,71310
030030,73201
030190,63991
030200,612
030210,661
030270,13101
030350,5821
030390,46599
030420,63991
030520,582
030530,201
030610,66121
030720,03111
030790,620
030950,18113
030960,1811
031150,64121
031210,65122
031310,612
031330,4659
031390,21100
031430,4741
031440,561
031510,303
031800,2611
031820,6201
031860,46800
031920,64132
031950,263
031960,14111
031970,263
031980,29271
031990,3111
032030,46493
032040,759
032050,26410
032080,13402
032150,64132
032180,2629
032190,46510
032280,49309
032290,26410
032300,212
032350,75210
032380,58221
032390,61220
032420,2642
032500,2642
032540,265
032560,24290
032570,26310
032580,2611
032590,2642
032600,58221
032610,75310
032620,58221
032640,61220
032680,639
032710,64913
032750,264
032790,46510
032800,901
032820,281
032830,65110
032850,58221
032860,383
032930,2642
032940,4659
032960,2629
032980,463
033020,24122
033030,26
033050,204
033100,2811
033110,471
033130,631
033160,262
033170,2612
033180,2629
033190,2219
033200,2629
033210,2811
033220,24222
033230,62021
033240,26292
033250,303
033260,15121
033270,212
033280,58221
033290,474
033310,26299
033320,46510
033330,22214
033340,14120
033430,292
033500,201
033530,303
033540,292
033550,46711
033560,26529
033600,303
033630,61210
033640,261
033660,64911
033720,58221
033780,12000
033790,282
033830,60210
033850,58222
033880,14120
033920,11122
034010,85503
034020,29119
034120,60210
034220,2621
034230,91249
034300,4112
034310,715
034510,64209
034590,35200
034600,58221
034660,27111
034730,64992
034750,60222
034810,649
034830,642
034940,212
034950,75993
035000,71310
035010,467
035080,479
035150,22214
035200,22211
035210,60222
035250,91249
035270,2642
035290,581
035400,58221
035420,63120
035430,61210
035450,62021
035460,2642
035480,46595
035500,59111
035510,62021
035600,58221
035610,715
035620,591
035710,47919
035720,63120
035760,602
035780,26410
035810,109
035830,90191
035870,13992
035890,4112
035900,59201
035910,26310
035950,2511
035960,27111
036000,58113
036010,26293
036020,26410
036030,461
036060,66199
036090,29272
036120,63991
036170,2612
036180,4659
036190,423
036200,29271
036210,26211
036220,271
036260,591
036270,2642
036280,10899
036360,58221
036420,591
036460,35200
036480,21230
036490,20122
036500,201
036530,64992
036540,2611
036550,26211
036560,29120
036570,582
036580,105
036590,291
036600,13219
036610,59114
036620,467
036630,423
036640,20201
036660,58111
036670,20421
036690,2642
036710,715
036720,58221
036760,263
036790,2642
036800,61299
036810,2629
036820,26410
036830,715
036840,70113
036850,2612
036880,26410
036890,29241
036900,29180
036910,2642
036920,46103
036930,29229
037010,263
037020,62090
037030,2811
037060,58221
037070,28519
037110,2642
037120,59112
037150,5821
037220,58221
037230,17223
037240,261
037250,2642
037270,631
037320,46510
037330,26211
037340,2642
037350,721
037370,201
037380,141
037400,468
037440,72111
037460,2642
037500,64201
037510,64201
037540,27212
037550,58221
037560,60222
037600,29293
037620,66121
037630,29180
037640,25114
037650,25932
037700,4659
037710,47111
037730,26
037750,62021
037760,24122
037830,58221
037950,26291
038010,2511
038050,28901
038060,2612
038070,467
038100,58221
038110,30320
038120,27199
038160,63991
038290,73909
038320,58221
038340,262
038390,75210
038400,64913
038410,46510
038420,292
038460,26293
038500,239
038530,464
038540,620
038620,47711
038680,62021
038690,2622
038710,21212
038720,29271
038810,18200
038830,2642
038870,741
038880,262
038920,58221
038950,2642
038960,26310
038980,4610
038990,28202
039000,263
039010,26410
039020,161
039030,29271
039040,4659
039060,21100
039110,68112
039130,75210
039200,212
039230,272
039240,24199
039290,639
039310,582
039340,60221
039350,27199
039390,2642
039420,61299
039440,29271
039490,66121
039530,06200
039560,26410
039570,423
039580,58221
039610,29133
039670,58121
039740,467
039790,204
039830,73203
039840,27192
039850,46
039860,27199
039870,26299
039980,620
039990,62021
040020,2642
040130,58221
040160,58221
040180,62021
040300,591
040350,620
040420,8550
040610,303
040670,28123
040740,59111
040910,29271
041020,58221
041030,5811
041060,58221
041140,5821
041190,6491
041310,58221
041320,46521
041440,29241
041450,62021
041460,58221
041500,21309
041510,59201
041520,272
041550,26293
041590,424
041630,58221
041650,303
041800,26
041830,27199
041910,212
041920,27112
041930,2219
041940,2642
041960,212
042000,63112
042040,467
042100,2629
042110,28519
042340,46800
042370,64992
042420,582
042500,62021
042510,582
042520,213
042570,26
042600,2629
042660,3111
042670,29241
042700,29271
042820,2642
042870,46800
042940,411
042950,64201
042960,27215
043090,467
043100,27192
043150,271
043200,281
043220,292
043260,26291
043290,292
043340,29133
043360,263
043370,303
043580,262
043590,261
043610,603
043630,27112
043650,11111
043680,5911
043690,2642
043710,467
043790,4610
043890,60222
043910,233
044060,29133
044070,21212
044180,411
044340,28519
044370,58221
044380,26310
044440,85691
044450,50112
044480,901
044490,25912
044640,58221
044770,26292
044780,29221
044820,64992
044960,467
044990,262
045050,28123
045060,20493
045100,721
045260,467
045290,2811
045300,2629
045310,2642
045340,58221
045380,58221
