Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
70101BA7,한국투자도쿄기오이쵸오피스[파생형],KOSPI,수익증권,보통주,2020-10-28,2023-07-20,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,42265148.0,440740,한투리얼에셋운용
000995,DB하이텍1우,KOSPI,주권,구형우선주,2007-05-21,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,전기·전자,5000.0,112316.0,000990,DB하이텍
001745,SK네트웍스우,KOSPI,주권,구형우선주,1989-12-21,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,유통,2500.0,113648.0,001740,SK네트웍스
010145,삼성중공우,KOSPI,주권,구형우선주,1994-11-22,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,운송장비·부품,1000.0,114845.0,010140,삼성중공업
004565,현대비앤지스틸우,KOSPI,주권,구형우선주,1989-08-31,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,금속,5000.0,109852.0,004560,현대비앤지스틸
000547,흥국화재2우B,KOSPI,주권,신형우선주,1999-08-09,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,보험,5000.0,153600.0,000540,흥국화재
21433218,금호에이치티 1WR,KOSPI,신주인수권증권,보통주,2018-07-30,2023-06-13,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,240756.0,214330,금호에이치티
1806421A,한진칼 3WR,KOSPI,신주인수권증권,보통주,2020-07-16,2023-06-05,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,3263492.0,180640,한진칼
008560,메리츠증권,KOSPI,주권,보통주,1992-01-15,2023-04-25,지주회사(최대주주등)의 완전자회사화 등,,,증권,1000.0,593180579.0,,
70101786,벨기에코어오피스부동산(A),KOSPI,수익증권,보통주,2018-06-19,2023-03-22,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,184179291.0,440740,한투리얼에셋운용
70102786,벨기에코어오피스부동산(C-I),KOSPI,수익증권,보통주,2018-06-19,2023-03-22,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,200000.0,440740,한투리얼에셋운용
