ticker,market,industry
330860,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
351320,KOSDAQ,특수 목적용 기계 제조업
005720,KOSPI,고무제품 제조업
002350,KOSPI,고무제품 제조업
089140,KOSDAQ,특수 목적용 기계 제조업
389650,KOSDAQ,의료용 기기 제조업
137940,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
396270,KOSDAQ,반도체 제조업
348210,KOSDAQ,특수 목적용 기계 제조업
092790,KOSPI,1차 철강 제조업
225570,KOSDAQ,소프트웨어 개발 및 공급업
205500,KOSDAQ,소프트웨어 개발 및 공급업
217270,KOSDAQ,소프트웨어 개발 및 공급업
251270,KOSPI,소프트웨어 개발 및 공급업
317860,KONEX,기타 화학제품 제조업
104620,KOSDAQ,여행사 및 기타 여행보조 서비스업
090350,KOSPI,기타 화학제품 제조업
000320,KOSPI,기타 금융업
473980,KOSDAQ,창작 및 예술관련 서비스업
194700,KOSDAQ,기타 식품 제조업
285490,KOSDAQ,그외 기타 제품 제조업
145170,KOSDAQ,편조의복 제조업
229500,KONEX,자연과학 및 공학 연구개발업
376930,KOSDAQ,의료용 기기 제조업
486990,KOSDAQ,소프트웨어 개발 및 공급업
006280,KOSPI,의약품 제조업
142280,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
234690,KOSDAQ,의약품 제조업
